number,project,topic,log,kind,subject,received,due,status
41655018,OKB,discovery,discovery tracker,Discovery response,Brightline first interrogatories to Okonkwo,2026-08-10,2026-09-09,closed
41759930,OKB,discovery,discovery tracker,Deposition,deposition of Marcus Okonkwo,2026-08-20,2026-09-11,closed
41790552,OKB,discovery,discovery tracker,Discovery response,Brightline first requests for production to Okonkwo,2026-09-02,2026-10-02,open
41802264,OKB,court,docket,Filing deadline,reply brief on the motion for leave to amend,2026-09-04,2026-09-28,open
41602277,VHT,court,docket,Answer due,answer to the Tillery cross-complaint,2026-07-20,2026-08-19,closed
41733410,VHT,court,docket,Opposition due,opposition to the Tillery motion to compel arbitration,2026-08-28,2026-10-01,open
41812275,VHT,discovery,discovery tracker,Discovery response,Tillery second requests for admission to Vance Holdings,2026-09-08,2026-10-08,open
41868815,VHT,opposing,docket,Offer expiry,Tillery statutory offer to compromise,2026-09-15,2026-10-15,open
41720983,DMF,discovery,discovery tracker,Discovery response,Delgado first requests for production to Marlow,2026-07-06,2026-08-05,closed
41766120,DMF,court,docket,Opposition due,opposition to the Delgado motion to compel further responses,2026-09-01,2026-09-17,closed
41829344,DMF,discovery,discovery tracker,Deposition,deposition of the Marlow HR director,2026-09-14,2026-09-29,open
41845901,DMF,discovery,discovery tracker,Discovery response,Delgado third set of interrogatories to Marlow,2026-09-14,2026-10-14,open
41877406,DMF,court,docket,Filing deadline,amended pleadings under the scheduling order,2026-09-15,2026-10-30,open
