number,project,subject,received,due,status
RFI-041,HP,slab edge detail at level 2,2026-09-01,2026-09-10,answered
RFI-042,HP,rebar spacing at grid C on the L2 deck,2026-09-19,2026-09-25,open
RFI-043,HP,embed plate size at shear wall 4,2026-09-20,2026-09-29,open
RFI-044,HP,balcony drain location at level 3,2026-09-18,2026-10-06,open
RFI-045,HP,sleeve through the transfer beam,2026-09-21,2026-09-23,open
RFI-021,LL,stair handrail extension at the landing,2026-09-16,2026-09-30,open
RFI-022,LL,skylight curb height,2026-09-18,2026-10-09,open
RFI-008,WC,ceiling height at the nurse station,2026-09-20,2026-09-28,open
RFI-009,WC,casework backing in the exam rooms,2026-09-19,2026-10-05,open
RFI-016,OM,window sill flashing,2026-09-02,2026-09-12,answered
RFI-017,OM,door hardware finish at the tenant entries,2026-09-20,2026-10-01,open
RFI-018,OM,brick repointing mortar type,2026-09-17,2026-10-12,open
